Timestamp	user_id	現在の気分の「良し悪し」を教えてください 	現在の気分の「高まり(活動レベル)」を教えてください	subjective_fatigue	photo_link	今日の睡眠時間を教えて。	objective_fatigue	discrepancy
2025-12-14 16:49:24	ryo	5	1	2	https://drive.google.com/open?id=19eukdd3bcKRT_sNo_nXR98ESyo_-4EVs		6.71	4.71
2025-12-14 21:04:13	古宮	3	2	5	https://drive.google.com/open?id=1h6V3VcalHfXOKZk1XXDhY2y4XQwmZhhE		7.0	2.0
2025-12-15 12:01:05	ryo	5	1	1	https://drive.google.com/open?id=1RZ528ld3AZerpFLq6fdr7qcat52xR65m		7.0	6.0
2025-12-15 15:53:00	古宮	3	2	3	https://drive.google.com/open?id=10RS4ezZS4gTDzMCcCTZ9DxUEr4x-uJzh		5.13	2.13
2025-12-15 18:10:14	古宮	3	3	3	https://drive.google.com/open?id=1QaVwPSwj9cpoPsX_yZePL6EnkWAFO5Uq		5.7	2.7
2025-12-15 21:01:15	古宮	4	4	3	https://drive.google.com/open?id=1GrXFE8asxiYD9G_cnWuVdjKMIet12o8S		6.2	3.2
2025-12-16 09:01:21	古宮	4	4	1	https://drive.google.com/open?id=1vCGDbMmu_qH5WoNpkZAPTGWE3F229zno		7.0	6.0
2025-12-16 12:00:51	古宮	4	3	2	https://drive.google.com/open?id=18XOWTw4EJhTJ8gKsMIlUFu-VlWVC-9MS		5.28	3.2800000000000002
2025-12-16 13:16:09	tyler	3	2	4	https://drive.google.com/open?id=1qoRCziFqtDVxSzvk2B1yzWnCXrOjVIqE		7.0	3.0
2025-12-16 15:24:22	古宮	4	4	2	https://drive.google.com/open?id=1DsGvI2smBCs7GYijjajoH0kDBjLt2sTv		7.0	5.0
2025-12-16 15:30:38	tyler	4	4	3	https://drive.google.com/open?id=1210WFW8XxI39EtlphV85hpLNKRbZkBUK		4.86	1.8600000000000003
2025-12-16 21:39:59	古宮	3	3	4	https://drive.google.com/open?id=1tNN1Pur4f1HntFa_KQV35hPOY2HTcCcI		6.45	2.45
2025-12-17 09:03:43	古宮	3	3	2	https://drive.google.com/open?id=1LZOpuHzyRbVb0uF20BNabcsqAJZsqCXK		7.0	5.0
2025-12-17 10:21:27	ryo	5	2	1	https://drive.google.com/open?id=1vt1tm4N4f7r834ZNPq1PYEX9vmIjhq9Q		7.0	6.0
2025-12-17 12:01:02	ryo	5	1	2	https://drive.google.com/open?id=1ZI3vWqWUJcs3R9fFmAQZet-rMh-fhYp6		5.15	3.1500000000000004
2025-12-17 12:01:56	tyler	4	4	3	https://drive.google.com/open?id=1CLB4Zixt4GqO0FInWbP25EVVMdavrPXB		5.93	2.9299999999999997
2025-12-17 15:01:48	古宮	4	4	3	https://drive.google.com/open?id=1cgQhCN0ykfmRlzKegvuaH4Qll4GBpEje		4.52	1.5199999999999996
2025-12-17 15:01:48	ryo	4	1	2	https://drive.google.com/open?id=1XZ-7PczLuOfrQ-DQx5zcUNoEm1P7O2tV		5.05	3.05
2025-12-17 18:02:23	古宮	4	3	3	https://drive.google.com/open?id=11tmwux_vnpK_MTX68LHXqCfhbQMX1zN3		5.66	2.66
2025-12-17 19:47:12	ryo	4	1	6	https://drive.google.com/open?id=1JpXydzje_sVaUBiL_02bjLnt9AoF6GRJ		7.0	1.0
2025-12-17 22:12:37	ryo	2	2	6	https://drive.google.com/open?id=15W98pOl0gdGDD1ABNX8puMLGWb-G2QD8		5.59	-0.41000000000000014
2025-12-18 09:51:17	古宮	4	4	1	https://drive.google.com/open?id=1AvVeJFvvstmJY5uXs3VQHZTNOIum19hx		6.11	5.11
2025-12-18 10:13:11	ryo	5	1	2	https://drive.google.com/open?id=13JuCkrS9deOSCl3jPMDTgzq275duVRZP		7.0	5.0
2025-12-18 12:14:37	古宮	4	4	1	https://drive.google.com/open?id=1Cjm3us9pCia5QQjUzLjuFODsVlTiuyIB		6.28	5.28
2025-12-18 15:08:37	tyler	4	3	3	https://drive.google.com/open?id=1IsMxXMvZT-3GIwi4x9sFaFzsKoNO8_NZ		5.8	2.8
2025-12-18 21:50:41	古宮	4	4	3	https://drive.google.com/open?id=1cjZILGmHAHUJabTsqFWUz2-ZSXAd6-o6		7.0	4.0
2025-12-19 09:04:50	古宮	4	4	1	https://drive.google.com/open?id=1cKJyANc_HTOwBcV2HyyG658RYqVIhrVR		6.18	5.18
2025-12-19 09:20:25	tyler	4	4	2	https://drive.google.com/open?id=1QaX0Jqkh6ZewWfqUShx2BMXMnzdyjv9C		6.01	4.01
2025-12-19 13:40:23	ryo	2	1	2	https://drive.google.com/open?id=1hc7dztDvEBWlHCiZB8LlumosBGvpwukl		7.0	5.0
2025-12-19 17:17:29	tyler	4	2	5	https://drive.google.com/open?id=1hJxtpCr9dI0f7uNG-ZrPXcxr7Qmf0W-h		3.69	-1.31
2025-12-19 18:09:23	ryo	3	1	4	https://drive.google.com/open?id=1AxtrMA8HLr84EhQwKl-dHOBe2qu4CXfu		4.9	0.9000000000000004
2025-12-20 12:03:42	古宮	4	4	1	https://drive.google.com/open?id=1pcwnZ9WMXDNIg9FsW5OmiijbBlKhrP9w		6.7	5.7
2025-12-20 15:03:32	古宮	4	4	2	https://drive.google.com/open?id=1TQ073qJUe6hPta4kDa5YmLJ4aAiHloPi		7.0	5.0
2025-12-20 18:16:08	古宮	4	4	4	https://drive.google.com/open?id=1TiKlr1IJNCE2kPJ13LViPlHieHjduvPG		7.0	3.0
2025-12-20 21:12:45	古宮	3	3	4	https://drive.google.com/open?id=1mJuHHewuLIZqZZ7xmbZ0lEOeSY1SDriE		6.55	2.55
2025-12-21 12:17:12	古宮	4	4	2	https://drive.google.com/open?id=17ZhJsO4ZHCWYPF1V8KGzZLm3nFc3WSmA		6.31	4.31
2025-12-21 15:35:11	古宮	4	4	3	https://drive.google.com/open?id=1ymtRqRUS4qigH3sGL1x-c-htnzRKoAwS		7.0	4.0
2025-12-21 21:09:09	古宮	3	3	4	https://drive.google.com/open?id=1HPg54Hi-xZDWoiWb4d19z0daKh2_A2Ub		4.42	0.41999999999999993
2025-12-22 12:24:52	tyler	4	4	1	https://drive.google.com/open?id=1VjexLZ6UNe55VpWkAL2SLZLwyXGXqEi9		4.79	3.79
2025-12-22 18:58:11	古宮	3	3	4	https://drive.google.com/open?id=16IOQCiQFcUekVjk-NIIk6CHKsMF-ZYUy		3.99	-0.009999999999999787
2025-12-22 20:12:17	tyler	4	2	3	https://drive.google.com/open?id=11R7rvi87nXLT9E-Cf-V0-BDdGtM44ggQ		7.0	4.0
2025-12-23 11:12:21	ryo	4	1	3	https://drive.google.com/open?id=1w9MYMIc40TfewEz6S2izO07PsolgF6np		7.0	4.0
2025-12-23 14:04:24	tyler	4	3	2	https://drive.google.com/open?id=1b-7tFVi8Bs04p95fuesM96vSk0VsLZlf		7.0	5.0
2025-12-23 18:18:23	tyler 	3	2	4	https://drive.google.com/open?id=1Th8tRnECoaoN-JTxUPJox0FMY3frqIHB		7.0	3.0
2025-12-24 12:05:07	古宮	4	4	3	https://drive.google.com/open?id=1NsutukeA26aaZB0sOijs7JW2KzrPIaWm		7.0	4.0
2025-12-24 15:02:37	古宮	3	3	4	https://drive.google.com/open?id=1zTBnKJ2taQrqB-52r2c2pt_E_E-kRKjE		6.49	2.49
2025-12-24 21:03:20	古宮	4	4	4	https://drive.google.com/open?id=1kwzC-_WauBAZGwdAa5xMiVx36KOup262		3.38	-0.6200000000000001
2025-12-25 09:08:32	tyler	4	2	5	https://drive.google.com/open?id=1Hq_FRQpqoyDi767PBeKjzyWfUCOPAJP_		5.54	0.54
2025-12-25 18:59:09	tyler	2	2	5	https://drive.google.com/open?id=1-8yIPfcGfqmwcCee1hTr8qw1Gcsrujdm	5時間未満	3.44	-1.56
2025-12-26 09:07:12	古宮	4	4	1	https://drive.google.com/open?id=1dM9QcY_ia8287mSaFVl_GsKEIiJDS3Kx	7-8時間	4.71	3.71
2025-12-26 10:03:59	tyler	4	4	1	https://drive.google.com/open?id=1PXBcbVppsQyRr1H4Jqfr20AWE3G3htuA	7-8時間	7.0	6.0
2025-12-26 12:00:57	古宮	4	4	2	https://drive.google.com/open?id=1ugrA4tAUW6WbDsM2TbRqmxXhmXKdIKbW		3.41	1.4100000000000001
2025-12-26 12:03:49	tyler	3	2	4	https://drive.google.com/open?id=1KmMg3G1QPHG1rpoJTw2XtshISsi1m1A1	7-8時間	5.74	1.7400000000000002
2025-12-26 15:23:28	tyler	4	2	5	https://drive.google.com/open?id=1DjDNZuVOpoBD3hZyg2UvlBSVZGeYpoKa	7-8時間	7.0	2.0
2025-12-27 10:27:24	tyler	4	2	5	https://drive.google.com/open?id=1A-779Issqqa1wWR9VOts52WncMhsNdby	5時間未満	7.0	2.0
2025-12-30 11:11:36	tyler	3	2	5	https://drive.google.com/open?id=1D8n3UGPbe0TB6iz5gar-5Gr4Dhez5l6X	5時間未満	7.0	2.0
2026-01-05 09:21:24	tyler	4	2	3	https://drive.google.com/open?id=13Er39h-I7bG20botgV9b59Y8RN_5Kvn6	5時間未満	7.0	4.0
2026-01-05 13:39:30	tyler	4	4	2	https://drive.google.com/open?id=185u9QdnC8P0gC03ZGtwqv0fxeFdnnWTM	5時間未満	4.36	2.3600000000000003
2026-01-05 15:27:55	tyler	4	4	3	https://drive.google.com/open?id=13xXOzsdlXcdfi4n-y1sZnUKLDF_MMQBQ	5時間未満	3.03	0.029999999999999805
